phase,lag,n_on,n_off,diff,std_off,snr,cohen_d,median_on,median_off,diff_median,auc,sinr,selectivity,pd_at_pfa,jsd,outage,lcr,afd,bestlag_phase,train_window,test_window,block_len,n_null,null_mode,stat,two_sided,amp_var,gate_var,phase_var,pfa,q
3,9,27,236,-0.3120461106300354,1.2336283922195435,-0.2529498338699341,-0.2630297800295126,-0.536528468132019,-0.05780147388577461,-0.47872698307037354,,,,,,0.14814814814814814,0.15384615384615385,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,10,27,236,-0.2586018741130829,1.2280974388122559,-0.21057114005088806,-0.21936633143733245,-0.523013174533844,0.023664919659495354,-0.5466780662536621,,,,,,0.07407407407407407,0.07692307692307693,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,11,27,236,-0.16868725419044495,1.2300134897232056,-0.1371425986289978,-0.14286065864847963,-0.3856969475746155,0.0051176948472857475,-0.3908146321773529,,,,,,0.1111111111111111,0.07692307692307693,3.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,12,27,236,-0.06610715389251709,1.251083254814148,-0.05283993110060692,-0.0550011322794142,-0.13360880315303802,-0.08841991424560547,-0.045188888907432556,,,,,,0.1111111111111111,0.07692307692307693,3.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,13,27,236,0.05557340011000633,1.2611433267593384,0.04406588897109032,0.045848198910957524,-0.06508343666791916,-0.012735901400446892,-0.05234753340482712,,,,,,0.1111111111111111,0.15384615384615385,1.5,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,14,27,236,0.09487996250391006,1.2596099376678467,0.0753248780965805,0.07827567495126726,-0.11016684025526047,-0.10282711684703827,-0.0073397234082221985,,,,,,0.037037037037037035,0.07692307692307693,1.0,1,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,15,27,236,0.01831977814435959,1.2305645942687988,0.014887294732034206,0.01538565938076152,-0.18515555560588837,-0.08652012795209885,-0.09863542765378952,,,,,,0.037037037037037035,0.038461538461538464,1.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,16,27,236,-0.11430723965167999,1.1977574825286865,-0.09543437510728836,-0.09747933215696875,-0.4569306969642639,-0.15223941206932068,-0.30469128489494324,,,,,,0.14814814814814814,0.11538461538461539,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,17,27,236,-0.18626295030117035,1.1236580610275269,-0.16576479375362396,-0.16855239832546665,-0.4975535273551941,-0.17662809789180756,-0.32092541456222534,,,,,,0.14814814814814814,0.11538461538461539,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,18,27,236,-0.15853828191757202,1.0679320096969604,-0.14845353364944458,-0.15093343832835912,-0.518119215965271,-0.23205648362636566,-0.28606271743774414,,,,,,0.2222222222222222,0.19230769230769232,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
