phase,lag,context_len,MI_bits,H_uncond,H_cond
7,29,1,-0.03857194343855408,3.7035007247520673,3.7420726681906213
7,30,1,-0.008233083134154828,3.7309670164780298,3.7392000996121846
7,0,2,-0.05503092245325769,3.8411080283656065,3.896138950818864
7,1,2,-0.04044109904729609,3.8454138932887165,3.8858549923360126
7,2,2,0.00566584896362432,3.7980031500681894,3.792337301104565
7,3,2,0.025126447532328733,3.7214791865419556,3.696352739009627
7,4,2,-0.0045184780671116975,3.7506852443499445,3.7552037224170562
7,5,2,-0.01870792568287527,3.7907400946915066,3.809448020374382
7,6,2,-0.006987535279810775,3.794339336497751,3.8013268717775617
7,7,2,0.014698988208485808,3.7446489133094283,3.7299499251009425
7,8,2,-0.025723438154396483,3.658079866796434,3.6838033049508305
7,9,2,-0.10994588373116354,3.6859352295975603,3.795881113328724
7,10,2,-0.12247665591817336,3.6919028274403787,3.814379483358552
7,11,2,-0.17240440914187172,3.786716269806804,3.959120678948676
7,12,2,-0.2183484360411425,3.883285570154766,4.1016340061959085
7,13,2,-0.2034796146568083,3.8271642652614477,4.030643879918256
7,14,2,-0.133795579111609,3.7753714085719356,3.9091669876835446
7,15,2,-0.07177372040047292,3.831865393843967,3.9036391142444398
7,16,2,-0.0059648623617301055,3.7973632040980334,3.8033280664597635
7,17,2,0.05081014995206523,3.750738962900056,3.6999288129479906
7,18,2,0.004868078578831536,3.783998071685817,3.7791299931069853
7,19,2,0.009886015507787782,3.926557581129387,3.9166715656215993
7,20,2,0.027933047058466,3.812225449978224,3.784292402919758
7,21,2,0.019533744825521282,3.8074570201613342,3.787923275335813
7,22,2,0.0391662486291251,3.7277164980769424,3.6885502494478173
7,23,2,0.010058004507353946,3.7447287360177537,3.7346707315103997
